Дата;Год;Месяц;День недели №;День недели;Номер недели;День тип
19.05.2019;2019;5;7;Воскресенье;20;Выходной_В
20.05.2019;2019;5;1;Понедельник;21;Рабочий
21.05.2019;2019;5;2;Вторник;21;Рабочий
22.05.2019;2019;5;3;Среда;21;Рабочий
23.05.2019;2019;5;4;Четверг;21;Рабочий
24.05.2019;2019;5;5;Пятница;21;Пятница
25.05.2019;2019;5;6;Суббота;21;Выходной_С
26.05.2019;2019;5;7;Воскресенье;21;Выходной_В
27.05.2019;2019;5;1;Понедельник;22;Рабочий
28.05.2019;2019;5;2;Вторник;22;Рабочий
29.05.2019;2019;5;3;Среда;22;Рабочий
30.05.2019;2019;5;4;Четверг;22;Рабочий
31.05.2019;2019;5;5;Пятница;22;Пятница
01.06.2019;2019;6;6;Суббота;22;Выходной_С
02.06.2019;2019;6;7;Воскресенье;22;Выходной_В
03.06.2019;2019;6;1;Понедельник;23;Рабочий
04.06.2019;2019;6;2;Вторник;23;Рабочий
05.06.2019;2019;6;3;Среда;23;Рабочий
06.06.2019;2019;6;4;Четверг;23;Рабочий
07.06.2019;2019;6;5;Пятница;23;Пятница
08.06.2019;2019;6;6;Суббота;23;Выходной_С
09.06.2019;2019;6;7;Воскресенье;23;Выходной_В
10.06.2019;2019;6;1;Понедельник;24;Рабочий
11.06.2019;2019;6;2;Вторник;24;Пятница
12.06.2019;2019;6;3;Среда;24;Выходной_В
13.06.2019;2019;6;4;Четверг;24;Рабочий
14.06.2019;2019;6;5;Пятница;24;Пятница
15.06.2019;2019;6;6;Суббота;24;Выходной_С
16.06.2019;2019;6;7;Воскресенье;24;Выходной_В
17.06.2019;2019;6;1;Понедельник;25;Рабочий
18.06.2019;2019;6;2;Вторник;25;Рабочий
19.06.2019;2019;6;3;Среда;25;Рабочий
20.06.2019;2019;6;4;Четверг;25;Рабочий
21.06.2019;2019;6;5;Пятница;25;Пятница
22.06.2019;2019;6;6;Суббота;25;Выходной_С
23.06.2019;2019;6;7;Воскресенье;25;Выходной_В
24.06.2019;2019;6;1;Понедельник;26;Рабочий
25.06.2019;2019;6;2;Вторник;26;Рабочий
26.06.2019;2019;6;3;Среда;26;Рабочий
27.06.2019;2019;6;4;Четверг;26;Рабочий
28.06.2019;2019;6;5;Пятница;26;Пятница
29.06.2019;2019;6;6;Суббота;26;Выходной_С
30.06.2019;2019;6;7;Воскресенье;26;Выходной_В
01.07.2019;2019;7;1;Понедельник;27;Рабочий
02.07.2019;2019;7;2;Вторник;27;Рабочий
03.07.2019;2019;7;3;Среда;27;Рабочий
04.07.2019;2019;7;4;Четверг;27;Рабочий
05.07.2019;2019;7;5;Пятница;27;Пятница
06.07.2019;2019;7;6;Суббота;27;Выходной_С
07.07.2019;2019;7;7;Воскресенье;27;Выходной_В
08.07.2019;2019;7;1;Понедельник;28;Рабочий
09.07.2019;2019;7;2;Вторник;28;Рабочий
10.07.2019;2019;7;3;Среда;28;Рабочий
11.07.2019;2019;7;4;Четверг;28;Рабочий
12.07.2019;2019;7;5;Пятница;28;Пятница
13.07.2019;2019;7;6;Суббота;28;Выходной_С
14.07.2019;2019;7;7;Воскресенье;28;Выходной_В
15.07.2019;2019;7;1;Понедельник;29;Рабочий
16.07.2019;2019;7;2;Вторник;29;Рабочий
17.07.2019;2019;7;3;Среда;29;Рабочий
18.07.2019;2019;7;4;Четверг;29;Рабочий
19.07.2019;2019;7;5;Пятница;29;Пятница
20.07.2019;2019;7;6;Суббота;29;Выходной_С
21.07.2019;2019;7;7;Воскресенье;29;Выходной_В
22.07.2019;2019;7;1;Понедельник;30;Рабочий
23.07.2019;2019;7;2;Вторник;30;Рабочий
24.07.2019;2019;7;3;Среда;30;Рабочий
25.07.2019;2019;7;4;Четверг;30;Рабочий
26.07.2019;2019;7;5;Пятница;30;Пятница
27.07.2019;2019;7;6;Суббота;30;Выходной_С
28.07.2019;2019;7;7;Воскресенье;30;Выходной_В
29.07.2019;2019;7;1;Понедельник;31;Рабочий
30.07.2019;2019;7;2;Вторник;31;Рабочий
31.07.2019;2019;7;3;Среда;31;Рабочий
01.08.2019;2019;8;4;Четверг;31;Рабочий
02.08.2019;2019;8;5;Пятница;31;Пятница
03.08.2019;2019;8;6;Суббота;31;Выходной_С
04.08.2019;2019;8;7;Воскресенье;31;Выходной_В
05.08.2019;2019;8;1;Понедельник;32;Рабочий
06.08.2019;2019;8;2;Вторник;32;Рабочий
07.08.2019;2019;8;3;Среда;32;Рабочий
08.08.2019;2019;8;4;Четверг;32;Рабочий
09.08.2019;2019;8;5;Пятница;32;Пятница
10.08.2019;2019;8;6;Суббота;32;Выходной_С
11.08.2019;2019;8;7;Воскресенье;32;Выходной_В
12.08.2019;2019;8;1;Понедельник;33;Рабочий
13.08.2019;2019;8;2;Вторник;33;Рабочий
14.08.2019;2019;8;3;Среда;33;Рабочий
15.08.2019;2019;8;4;Четверг;33;Рабочий
16.08.2019;2019;8;5;Пятница;33;Пятница
17.08.2019;2019;8;6;Суббота;33;Выходной_С
18.08.2019;2019;8;7;Воскресенье;33;Выходной_В
19.08.2019;2019;8;1;Понедельник;34;Рабочий
20.08.2019;2019;8;2;Вторник;34;Рабочий
21.08.2019;2019;8;3;Среда;34;Рабочий
22.08.2019;2019;8;4;Четверг;34;Рабочий
23.08.2019;2019;8;5;Пятница;34;Пятница
24.08.2019;2019;8;6;Суббота;34;Выходной_С
25.08.2019;2019;8;7;Воскресенье;34;Выходной_В
26.08.2019;2019;8;1;Понедельник;35;Рабочий
27.08.2019;2019;8;2;Вторник;35;Рабочий
28.08.2019;2019;8;3;Среда;35;Рабочий
29.08.2019;2019;8;4;Четверг;35;Рабочий
30.08.2019;2019;8;5;Пятница;35;Пятница
31.08.2019;2019;8;6;Суббота;35;Выходной_С
01.09.2019;2019;9;7;Воскресенье;35;Выходной_В
02.09.2019;2019;9;1;Понедельник;36;Рабочий
03.09.2019;2019;9;2;Вторник;36;Рабочий
04.09.2019;2019;9;3;Среда;36;Рабочий
05.09.2019;2019;9;4;Четверг;36;Рабочий
06.09.2019;2019;9;5;Пятница;36;Пятница
07.09.2019;2019;9;6;Суббота;36;Выходной_С
08.09.2019;2019;9;7;Воскресенье;36;Выходной_В
09.09.2019;2019;9;1;Понедельник;37;Рабочий
10.09.2019;2019;9;2;Вторник;37;Рабочий
11.09.2019;2019;9;3;Среда;37;Рабочий
12.09.2019;2019;9;4;Четверг;37;Рабочий
13.09.2019;2019;9;5;Пятница;37;Пятница
14.09.2019;2019;9;6;Суббота;37;Выходной_С
15.09.2019;2019;9;7;Воскресенье;37;Выходной_В
16.09.2019;2019;9;1;Понедельник;38;Рабочий
17.09.2019;2019;9;2;Вторник;38;Рабочий
18.09.2019;2019;9;3;Среда;38;Рабочий
19.09.2019;2019;9;4;Четверг;38;Рабочий
20.09.2019;2019;9;5;Пятница;38;Пятница
21.09.2019;2019;9;6;Суббота;38;Выходной_С
22.09.2019;2019;9;7;Воскресенье;38;Выходной_В
23.09.2019;2019;9;1;Понедельник;39;Рабочий
24.09.2019;2019;9;2;Вторник;39;Рабочий
25.09.2019;2019;9;3;Среда;39;Рабочий
26.09.2019;2019;9;4;Четверг;39;Рабочий
27.09.2019;2019;9;5;Пятница;39;Пятница
28.09.2019;2019;9;6;Суббота;39;Выходной_С
29.09.2019;2019;9;7;Воскресенье;39;Выходной_В
30.09.2019;2019;9;1;Понедельник;40;Рабочий
01.10.2019;2019;10;2;Вторник;40;Рабочий
02.10.2019;2019;10;3;Среда;40;Рабочий
03.10.2019;2019;10;4;Четверг;40;Рабочий
04.10.2019;2019;10;5;Пятница;40;Пятница
05.10.2019;2019;10;6;Суббота;40;Выходной_С
06.10.2019;2019;10;7;Воскресенье;40;Выходной_В
07.10.2019;2019;10;1;Понедельник;41;Рабочий
08.10.2019;2019;10;2;Вторник;41;Рабочий
09.10.2019;2019;10;3;Среда;41;Рабочий
10.10.2019;2019;10;4;Четверг;41;Рабочий
11.10.2019;2019;10;5;Пятница;41;Пятница
12.10.2019;2019;10;6;Суббота;41;Выходной_С
13.10.2019;2019;10;7;Воскресенье;41;Выходной_В
14.10.2019;2019;10;1;Понедельник;42;Рабочий
15.10.2019;2019;10;2;Вторник;42;Рабочий
16.10.2019;2019;10;3;Среда;42;Рабочий
17.10.2019;2019;10;4;Четверг;42;Рабочий
18.10.2019;2019;10;5;Пятница;42;Пятница
19.10.2019;2019;10;6;Суббота;42;Выходной_С
20.10.2019;2019;10;7;Воскресенье;42;Выходной_В
21.10.2019;2019;10;1;Понедельник;43;Рабочий
22.10.2019;2019;10;2;Вторник;43;Рабочий
23.10.2019;2019;10;3;Среда;43;Рабочий
24.10.2019;2019;10;4;Четверг;43;Рабочий
25.10.2019;2019;10;5;Пятница;43;Пятница
26.10.2019;2019;10;6;Суббота;43;Выходной_С
27.10.2019;2019;10;7;Воскресенье;43;Выходной_В
28.10.2019;2019;10;1;Понедельник;44;Рабочий
29.10.2019;2019;10;2;Вторник;44;Рабочий
30.10.2019;2019;10;3;Среда;44;Рабочий
31.10.2019;2019;10;4;Четверг;44;Рабочий
01.11.2019;2019;11;5;Пятница;44;Пятница
02.11.2019;2019;11;6;Суббота;44;Выходной_С
03.11.2019;2019;11;7;Воскресенье;44;Выходной_С
04.11.2019;2019;11;1;Понедельник;45;Выходной_В
05.11.2019;2019;11;2;Вторник;45;Рабочий
06.11.2019;2019;11;3;Среда;45;Рабочий
07.11.2019;2019;11;4;Четверг;45;Рабочий
08.11.2019;2019;11;5;Пятница;45;Пятница
09.11.2019;2019;11;6;Суббота;45;Выходной_С
10.11.2019;2019;11;7;Воскресенье;45;Выходной_В
11.11.2019;2019;11;1;Понедельник;46;Рабочий
12.11.2019;2019;11;2;Вторник;46;Рабочий
13.11.2019;2019;11;3;Среда;46;Рабочий
14.11.2019;2019;11;4;Четверг;46;Рабочий
15.11.2019;2019;11;5;Пятница;46;Пятница
16.11.2019;2019;11;6;Суббота;46;Выходной_С
17.11.2019;2019;11;7;Воскресенье;46;Выходной_В
18.11.2019;2019;11;1;Понедельник;47;Рабочий
19.11.2019;2019;11;2;Вторник;47;Рабочий
20.11.2019;2019;11;3;Среда;47;Рабочий
21.11.2019;2019;11;4;Четверг;47;Рабочий
22.11.2019;2019;11;5;Пятница;47;Пятница
23.11.2019;2019;11;6;Суббота;47;Выходной_С
24.11.2019;2019;11;7;Воскресенье;47;Выходной_В
25.11.2019;2019;11;1;Понедельник;48;Рабочий
26.11.2019;2019;11;2;Вторник;48;Рабочий
27.11.2019;2019;11;3;Среда;48;Рабочий
28.11.2019;2019;11;4;Четверг;48;Рабочий
29.11.2019;2019;11;5;Пятница;48;Пятница
30.11.2019;2019;11;6;Суббота;48;Выходной_С
01.12.2019;2019;12;7;Воскресенье;48;Выходной_В
02.12.2019;2019;12;1;Понедельник;49;Рабочий
03.12.2019;2019;12;2;Вторник;49;Рабочий
04.12.2019;2019;12;3;Среда;49;Рабочий
05.12.2019;2019;12;4;Четверг;49;Рабочий
06.12.2019;2019;12;5;Пятница;49;Пятница
07.12.2019;2019;12;6;Суббота;49;Выходной_С
08.12.2019;2019;12;7;Воскресенье;49;Выходной_В
09.12.2019;2019;12;1;Понедельник;50;Рабочий
10.12.2019;2019;12;2;Вторник;50;Рабочий
11.12.2019;2019;12;3;Среда;50;Рабочий
12.12.2019;2019;12;4;Четверг;50;Рабочий
13.12.2019;2019;12;5;Пятница;50;Пятница
14.12.2019;2019;12;6;Суббота;50;Выходной_С
15.12.2019;2019;12;7;Воскресенье;50;Выходной_В
16.12.2019;2019;12;1;Понедельник;51;Рабочий
17.12.2019;2019;12;2;Вторник;51;Рабочий
18.12.2019;2019;12;3;Среда;51;Рабочий
19.12.2019;2019;12;4;Четверг;51;Рабочий
20.12.2019;2019;12;5;Пятница;51;Пятница
21.12.2019;2019;12;6;Суббота;51;Выходной_С
22.12.2019;2019;12;7;Воскресенье;51;Выходной_В
23.12.2019;2019;12;1;Понедельник;52;Рабочий
24.12.2019;2019;12;2;Вторник;52;Рабочий
25.12.2019;2019;12;3;Среда;52;Рабочий
26.12.2019;2019;12;4;Четверг;52;Рабочий
27.12.2019;2019;12;5;Пятница;52;Пятница
28.12.2019;2019;12;6;Суббота;52;Выходной_С
29.12.2019;2019;12;7;Воскресенье;52;Выходной_В
30.12.2019;2019;12;1;Понедельник;53;Рабочий
31.12.2019;2019;12;2;Вторник;53;Рабочий
01.01.2020;2020;1;3;Среда;1;Рабочий
02.01.2020;2020;1;4;Четверг;1;Рабочий
03.01.2020;2020;1;5;Пятница;1;Пятница
04.01.2020;2020;1;6;Суббота;1;Выходной_С
05.01.2020;2020;1;7;Воскресенье;1;Выходной_В
06.01.2020;2020;1;1;Понедельник;2;Рабочий
07.01.2020;2020;1;2;Вторник;2;Рабочий
08.01.2020;2020;1;3;Среда;2;Рабочий
09.01.2020;2020;1;4;Четверг;2;Рабочий
10.01.2020;2020;1;5;Пятница;2;Пятница
11.01.2020;2020;1;6;Суббота;2;Выходной_С
12.01.2020;2020;1;7;Воскресенье;2;Выходной_В
13.01.2020;2020;1;1;Понедельник;3;Рабочий
14.01.2020;2020;1;2;Вторник;3;Рабочий
15.01.2020;2020;1;3;Среда;3;Рабочий
16.01.2020;2020;1;4;Четверг;3;Рабочий
17.01.2020;2020;1;5;Пятница;3;Пятница
18.01.2020;2020;1;6;Суббота;3;Выходной_С
19.01.2020;2020;1;7;Воскресенье;3;Выходной_В
20.01.2020;2020;1;1;Понедельник;4;Рабочий
21.01.2020;2020;1;2;Вторник;4;Рабочий
22.01.2020;2020;1;3;Среда;4;Рабочий
23.01.2020;2020;1;4;Четверг;4;Рабочий
24.01.2020;2020;1;5;Пятница;4;Пятница
25.01.2020;2020;1;6;Суббота;4;Выходной_С
26.01.2020;2020;1;7;Воскресенье;4;Выходной_В
27.01.2020;2020;1;1;Понедельник;5;Рабочий
28.01.2020;2020;1;2;Вторник;5;Рабочий
29.01.2020;2020;1;3;Среда;5;Рабочий
30.01.2020;2020;1;4;Четверг;5;Рабочий
31.01.2020;2020;1;5;Пятница;5;Пятница
01.02.2020;2020;2;6;Суббота;5;Выходной_С
02.02.2020;2020;2;7;Воскресенье;5;Выходной_В
03.02.2020;2020;2;1;Понедельник;6;Рабочий
04.02.2020;2020;2;2;Вторник;6;Рабочий
05.02.2020;2020;2;3;Среда;6;Рабочий
06.02.2020;2020;2;4;Четверг;6;Рабочий
07.02.2020;2020;2;5;Пятница;6;Пятница
08.02.2020;2020;2;6;Суббота;6;Выходной_С
09.02.2020;2020;2;7;Воскресенье;6;Выходной_В
10.02.2020;2020;2;1;Понедельник;7;Рабочий
11.02.2020;2020;2;2;Вторник;7;Рабочий
12.02.2020;2020;2;3;Среда;7;Рабочий
13.02.2020;2020;2;4;Четверг;7;Рабочий
14.02.2020;2020;2;5;Пятница;7;Пятница
15.02.2020;2020;2;6;Суббота;7;Выходной_С
16.02.2020;2020;2;7;Воскресенье;7;Выходной_В
17.02.2020;2020;2;1;Понедельник;8;Рабочий
18.02.2020;2020;2;2;Вторник;8;Рабочий
19.02.2020;2020;2;3;Среда;8;Рабочий
20.02.2020;2020;2;4;Четверг;8;Рабочий
21.02.2020;2020;2;5;Пятница;8;Пятница
22.02.2020;2020;2;6;Суббота;8;Выходной_С
23.02.2020;2020;2;7;Воскресенье;8;Выходной_С
24.02.2020;2020;2;1;Понедельник;9;Выходной_В
25.02.2020;2020;2;2;Вторник;9;Рабочий
26.02.2020;2020;2;3;Среда;9;Рабочий
27.02.2020;2020;2;4;Четверг;9;Рабочий
28.02.2020;2020;2;5;Пятница;9;Пятница
29.02.2020;2020;2;6;Суббота;9;Выходной_С
01.03.2020;2020;3;7;Воскресенье;9;Выходной_В
02.03.2020;2020;3;1;Понедельник;10;Рабочий
03.03.2020;2020;3;2;Вторник;10;Рабочий
04.03.2020;2020;3;3;Среда;10;Рабочий
05.03.2020;2020;3;4;Четверг;10;Рабочий
06.03.2020;2020;3;5;Пятница;10;Пятница
07.03.2020;2020;3;6;Суббота;10;Выходной_С
08.03.2020;2020;3;7;Воскресенье;10;Выходной_С
09.03.2020;2020;3;1;Понедельник;11;Выходной_В
10.03.2020;2020;3;2;Вторник;11;Рабочий
11.03.2020;2020;3;3;Среда;11;Рабочий
12.03.2020;2020;3;4;Четверг;11;Рабочий
13.03.2020;2020;3;5;Пятница;11;Пятница
14.03.2020;2020;3;6;Суббота;11;Выходной_С
15.03.2020;2020;3;7;Воскресенье;11;Выходной_В
16.03.2020;2020;3;1;Понедельник;12;Рабочий
17.03.2020;2020;3;2;Вторник;12;Рабочий
18.03.2020;2020;3;3;Среда;12;Рабочий
19.03.2020;2020;3;4;Четверг;12;Рабочий
20.03.2020;2020;3;5;Пятница;12;Пятница
21.03.2020;2020;3;6;Суббота;12;Выходной_С
22.03.2020;2020;3;7;Воскресенье;12;Выходной_В
23.03.2020;2020;3;1;Понедельник;13;Рабочий
24.03.2020;2020;3;2;Вторник;13;Рабочий
25.03.2020;2020;3;3;Среда;13;Рабочий
26.03.2020;2020;3;4;Четверг;13;Рабочий
27.03.2020;2020;3;5;Пятница;13;Пятница
28.03.2020;2020;3;6;Суббота;13;Выходной_С
29.03.2020;2020;3;7;Воскресенье;13;Выходной_В
30.03.2020;2020;3;1;Понедельник;14;Рабочий
31.03.2020;2020;3;2;Вторник;14;Рабочий
01.04.2020;2020;4;3;Среда;14;Рабочий
02.04.2020;2020;4;4;Четверг;14;Рабочий
03.04.2020;2020;4;5;Пятница;14;Пятница
04.04.2020;2020;4;6;Суббота;14;Выходной_С
05.04.2020;2020;4;7;Воскресенье;14;Выходной_В
06.04.2020;2020;4;1;Понедельник;15;Рабочий
07.04.2020;2020;4;2;Вторник;15;Рабочий
08.04.2020;2020;4;3;Среда;15;Рабочий
09.04.2020;2020;4;4;Четверг;15;Рабочий
10.04.2020;2020;4;5;Пятница;15;Пятница
11.04.2020;2020;4;6;Суббота;15;Выходной_С
12.04.2020;2020;4;7;Воскресенье;15;Выходной_В
13.04.2020;2020;4;1;Понедельник;16;Рабочий
14.04.2020;2020;4;2;Вторник;16;Рабочий
15.04.2020;2020;4;3;Среда;16;Рабочий
16.04.2020;2020;4;4;Четверг;16;Рабочий
17.04.2020;2020;4;5;Пятница;16;Пятница
18.04.2020;2020;4;6;Суббота;16;Выходной_С
19.04.2020;2020;4;7;Воскресенье;16;Выходной_В
20.04.2020;2020;4;1;Понедельник;17;Рабочий
21.04.2020;2020;4;2;Вторник;17;Рабочий
22.04.2020;2020;4;3;Среда;17;Рабочий
23.04.2020;2020;4;4;Четверг;17;Рабочий
24.04.2020;2020;4;5;Пятница;17;Пятница
25.04.2020;2020;4;6;Суббота;17;Выходной_С
26.04.2020;2020;4;7;Воскресенье;17;Выходной_В
27.04.2020;2020;4;1;Понедельник;18;Рабочий
28.04.2020;2020;4;2;Вторник;18;Рабочий
29.04.2020;2020;4;3;Среда;18;Рабочий
30.04.2020;2020;4;4;Четверг;18;Пятница
01.05.2020;2020;5;5;Пятница;18;Выходной_С
02.05.2020;2020;5;6;Суббота;18;Выходной_С
03.05.2020;2020;5;7;Воскресенье;18;Выходной_В
04.05.2020;2020;5;1;Понедельник;19;Рабочий
05.05.2020;2020;5;2;Вторник;19;Рабочий
06.05.2020;2020;5;3;Среда;19;Рабочий
07.05.2020;2020;5;4;Четверг;19;Рабочий
08.05.2020;2020;5;5;Пятница;19;Пятница
09.05.2020;2020;5;6;Суббота;19;Выходной_С
10.05.2020;2020;5;7;Воскресенье;19;Выходной_В
11.05.2020;2020;5;1;Понедельник;20;Рабочий
12.05.2020;2020;5;2;Вторник;20;Рабочий
13.05.2020;2020;5;3;Среда;20;Рабочий
14.05.2020;2020;5;4;Четверг;20;Рабочий
15.05.2020;2020;5;5;Пятница;20;Пятница
16.05.2020;2020;5;6;Суббота;20;Выходной_С
17.05.2020;2020;5;7;Воскресенье;20;Выходной_В
18.05.2020;2020;5;1;Понедельник;21;Рабочий
19.05.2020;2020;5;2;Вторник;21;Рабочий
20.05.2020;2020;5;3;Среда;21;Рабочий
21.05.2020;2020;5;4;Четверг;21;Рабочий
22.05.2020;2020;5;5;Пятница;21;Пятница
23.05.2020;2020;5;6;Суббота;21;Выходной_С
24.05.2020;2020;5;7;Воскресенье;21;Выходной_В
25.05.2020;2020;5;1;Понедельник;22;Рабочий
26.05.2020;2020;5;2;Вторник;22;Рабочий
27.05.2020;2020;5;3;Среда;22;Рабочий
28.05.2020;2020;5;4;Четверг;22;Рабочий
29.05.2020;2020;5;5;Пятница;22;Пятница
30.05.2020;2020;5;6;Суббота;22;Выходной_С
31.05.2020;2020;5;7;Воскресенье;22;Выходной_В
01.06.2020;2020;6;1;Понедельник;23;Рабочий
02.06.2020;2020;6;2;Вторник;23;Рабочий
03.06.2020;2020;6;3;Среда;23;Рабочий
04.06.2020;2020;6;4;Четверг;23;Рабочий
05.06.2020;2020;6;5;Пятница;23;Пятница
06.06.2020;2020;6;6;Суббота;23;Выходной_С
07.06.2020;2020;6;7;Воскресенье;23;Выходной_В
08.06.2020;2020;6;1;Понедельник;24;Рабочий
09.06.2020;2020;6;2;Вторник;24;Рабочий
10.06.2020;2020;6;3;Среда;24;Рабочий
11.06.2020;2020;6;4;Четверг;24;Рабочий
12.06.2020;2020;6;5;Пятница;24;Пятница
13.06.2020;2020;6;6;Суббота;24;Выходной_С
14.06.2020;2020;6;7;Воскресенье;24;Выходной_В
15.06.2020;2020;6;1;Понедельник;25;Рабочий
16.06.2020;2020;6;2;Вторник;25;Рабочий
17.06.2020;2020;6;3;Среда;25;Рабочий
18.06.2020;2020;6;4;Четверг;25;Рабочий
19.06.2020;2020;6;5;Пятница;25;Пятница
20.06.2020;2020;6;6;Суббота;25;Выходной_С
21.06.2020;2020;6;7;Воскресенье;25;Выходной_В
22.06.2020;2020;6;1;Понедельник;26;Рабочий
23.06.2020;2020;6;2;Вторник;26;Рабочий
24.06.2020;2020;6;3;Среда;26;Рабочий
25.06.2020;2020;6;4;Четверг;26;Рабочий
26.06.2020;2020;6;5;Пятница;26;Пятница
27.06.2020;2020;6;6;Суббота;26;Выходной_С
28.06.2020;2020;6;7;Воскресенье;26;Выходной_В
29.06.2020;2020;6;1;Понедельник;27;Рабочий
30.06.2020;2020;6;2;Вторник;27;Рабочий
01.07.2020;2020;7;3;Среда;27;Рабочий
02.07.2020;2020;7;4;Четверг;27;Рабочий
03.07.2020;2020;7;5;Пятница;27;Пятница
04.07.2020;2020;7;6;Суббота;27;Выходной_С
05.07.2020;2020;7;7;Воскресенье;27;Выходной_В
06.07.2020;2020;7;1;Понедельник;28;Рабочий
07.07.2020;2020;7;2;Вторник;28;Рабочий
08.07.2020;2020;7;3;Среда;28;Рабочий
09.07.2020;2020;7;4;Четверг;28;Рабочий
10.07.2020;2020;7;5;Пятница;28;Пятница
11.07.2020;2020;7;6;Суббота;28;Выходной_С
12.07.2020;2020;7;7;Воскресенье;28;Выходной_В
13.07.2020;2020;7;1;Понедельник;29;Рабочий
14.07.2020;2020;7;2;Вторник;29;Рабочий
15.07.2020;2020;7;3;Среда;29;Рабочий
16.07.2020;2020;7;4;Четверг;29;Рабочий
17.07.2020;2020;7;5;Пятница;29;Пятница
18.07.2020;2020;7;6;Суббота;29;Выходной_С
19.07.2020;2020;7;7;Воскресенье;29;Выходной_В
20.07.2020;2020;7;1;Понедельник;30;Рабочий
21.07.2020;2020;7;2;Вторник;30;Рабочий
22.07.2020;2020;7;3;Среда;30;Рабочий
23.07.2020;2020;7;4;Четверг;30;Рабочий
24.07.2020;2020;7;5;Пятница;30;Пятница
25.07.2020;2020;7;6;Суббота;30;Выходной_С
26.07.2020;2020;7;7;Воскресенье;30;Выходной_В
27.07.2020;2020;7;1;Понедельник;31;Рабочий
28.07.2020;2020;7;2;Вторник;31;Рабочий
29.07.2020;2020;7;3;Среда;31;Рабочий
30.07.2020;2020;7;4;Четверг;31;Рабочий
31.07.2020;2020;7;5;Пятница;31;Пятница
01.08.2020;2020;8;6;Суббота;31;Выходной_С
02.08.2020;2020;8;7;Воскресенье;31;Выходной_В
03.08.2020;2020;8;1;Понедельник;32;Рабочий
04.08.2020;2020;8;2;Вторник;32;Рабочий
05.08.2020;2020;8;3;Среда;32;Рабочий
06.08.2020;2020;8;4;Четверг;32;Рабочий
07.08.2020;2020;8;5;Пятница;32;Пятница
08.08.2020;2020;8;6;Суббота;32;Выходной_С
09.08.2020;2020;8;7;Воскресенье;32;Выходной_В
10.08.2020;2020;8;1;Понедельник;33;Рабочий
11.08.2020;2020;8;2;Вторник;33;Рабочий
12.08.2020;2020;8;3;Среда;33;Рабочий
13.08.2020;2020;8;4;Четверг;33;Рабочий
14.08.2020;2020;8;5;Пятница;33;Пятница
15.08.2020;2020;8;6;Суббота;33;Выходной_С
16.08.2020;2020;8;7;Воскресенье;33;Выходной_В
17.08.2020;2020;8;1;Понедельник;34;Рабочий
18.08.2020;2020;8;2;Вторник;34;Рабочий
19.08.2020;2020;8;3;Среда;34;Рабочий
20.08.2020;2020;8;4;Четверг;34;Рабочий
21.08.2020;2020;8;5;Пятница;34;Пятница
22.08.2020;2020;8;6;Суббота;34;Выходной_С
23.08.2020;2020;8;7;Воскресенье;34;Выходной_В
24.08.2020;2020;8;1;Понедельник;35;Рабочий
25.08.2020;2020;8;2;Вторник;35;Рабочий
26.08.2020;2020;8;3;Среда;35;Рабочий
27.08.2020;2020;8;4;Четверг;35;Рабочий
28.08.2020;2020;8;5;Пятница;35;Пятница
29.08.2020;2020;8;6;Суббота;35;Выходной_С
30.08.2020;2020;8;7;Воскресенье;35;Выходной_В
31.08.2020;2020;8;1;Понедельник;36;Рабочий
01.09.2020;2020;9;2;Вторник;36;Рабочий
02.09.2020;2020;9;3;Среда;36;Рабочий
03.09.2020;2020;9;4;Четверг;36;Рабочий
04.09.2020;2020;9;5;Пятница;36;Пятница
05.09.2020;2020;9;6;Суббота;36;Выходной_С
06.09.2020;2020;9;7;Воскресенье;36;Выходной_В
07.09.2020;2020;9;1;Понедельник;37;Рабочий
08.09.2020;2020;9;2;Вторник;37;Рабочий
09.09.2020;2020;9;3;Среда;37;Рабочий
10.09.2020;2020;9;4;Четверг;37;Рабочий
11.09.2020;2020;9;5;Пятница;37;Пятница
12.09.2020;2020;9;6;Суббота;37;Выходной_С
13.09.2020;2020;9;7;Воскресенье;37;Выходной_В
14.09.2020;2020;9;1;Понедельник;38;Рабочий
15.09.2020;2020;9;2;Вторник;38;Рабочий
16.09.2020;2020;9;3;Среда;38;Рабочий
17.09.2020;2020;9;4;Четверг;38;Рабочий
18.09.2020;2020;9;5;Пятница;38;Пятница
19.09.2020;2020;9;6;Суббота;38;Выходной_С
20.09.2020;2020;9;7;Воскресенье;38;Выходной_В
21.09.2020;2020;9;1;Понедельник;39;Рабочий
22.09.2020;2020;9;2;Вторник;39;Рабочий
23.09.2020;2020;9;3;Среда;39;Рабочий
24.09.2020;2020;9;4;Четверг;39;Рабочий
25.09.2020;2020;9;5;Пятница;39;Пятница
26.09.2020;2020;9;6;Суббота;39;Выходной_С
27.09.2020;2020;9;7;Воскресенье;39;Выходной_В
28.09.2020;2020;9;1;Понедельник;40;Рабочий
29.09.2020;2020;9;2;Вторник;40;Рабочий
30.09.2020;2020;9;3;Среда;40;Рабочий
01.10.2020;2020;10;4;Четверг;40;Рабочий
02.10.2020;2020;10;5;Пятница;40;Пятница
03.10.2020;2020;10;6;Суббота;40;Выходной_С
04.10.2020;2020;10;7;Воскресенье;40;Выходной_В
05.10.2020;2020;10;1;Понедельник;41;Рабочий
06.10.2020;2020;10;2;Вторник;41;Рабочий
07.10.2020;2020;10;3;Среда;41;Рабочий
08.10.2020;2020;10;4;Четверг;41;Рабочий
