Дата;Год;Месяц;День недели №;День недели;Номер недели;День тип
11.04.2018;2018;4;3;Среда;15;Рабочий
12.04.2018;2018;4;4;Четверг;15;Рабочий
13.04.2018;2018;4;5;Пятница;15;Пятница
14.04.2018;2018;4;6;Суббота;15;Выходной_С
15.04.2018;2018;4;7;Воскресенье;15;Выходной_В
16.04.2018;2018;4;1;Понедельник;16;Рабочий
17.04.2018;2018;4;2;Вторник;16;Рабочий
18.04.2018;2018;4;3;Среда;16;Рабочий
19.04.2018;2018;4;4;Четверг;16;Рабочий
20.04.2018;2018;4;5;Пятница;16;Пятница
21.04.2018;2018;4;6;Суббота;16;Выходной_С
22.04.2018;2018;4;7;Воскресенье;16;Выходной_В
23.04.2018;2018;4;1;Понедельник;17;Рабочий
24.04.2018;2018;4;2;Вторник;17;Рабочий
25.04.2018;2018;4;3;Среда;17;Рабочий
26.04.2018;2018;4;4;Четверг;17;Рабочий
27.04.2018;2018;4;5;Пятница;17;Рабочий
28.04.2018;2018;4;6;Суббота;17;Пятница
29.04.2018;2018;4;7;Воскресенье;17;Выходной_С
30.04.2018;2018;4;1;Понедельник;18;Выходной_С
01.05.2018;2018;5;2;Вторник;18;Выходной_С
02.05.2018;2018;5;3;Среда;18;Выходной_В
03.05.2018;2018;5;4;Четверг;18;Рабочий
04.05.2018;2018;5;5;Пятница;18;Пятница
05.05.2018;2018;5;6;Суббота;18;Выходной_С
06.05.2018;2018;5;7;Воскресенье;18;Выходной_В
07.05.2018;2018;5;1;Понедельник;19;Рабочий
08.05.2018;2018;5;2;Вторник;19;Пятница
09.05.2018;2018;5;3;Среда;19;Выходной_В
10.05.2018;2018;5;4;Четверг;19;Рабочий
11.05.2018;2018;5;5;Пятница;19;Пятница
12.05.2018;2018;5;6;Суббота;19;Выходной_С
13.05.2018;2018;5;7;Воскресенье;19;Выходной_В
14.05.2018;2018;5;1;Понедельник;20;Рабочий
15.05.2018;2018;5;2;Вторник;20;Рабочий
16.05.2018;2018;5;3;Среда;20;Рабочий
17.05.2018;2018;5;4;Четверг;20;Рабочий
18.05.2018;2018;5;5;Пятница;20;Пятница
19.05.2018;2018;5;6;Суббота;20;Выходной_С
20.05.2018;2018;5;7;Воскресенье;20;Выходной_В
21.05.2018;2018;5;1;Понедельник;21;Рабочий
22.05.2018;2018;5;2;Вторник;21;Рабочий
23.05.2018;2018;5;3;Среда;21;Рабочий
24.05.2018;2018;5;4;Четверг;21;Рабочий
25.05.2018;2018;5;5;Пятница;21;Пятница
26.05.2018;2018;5;6;Суббота;21;Выходной_С
27.05.2018;2018;5;7;Воскресенье;21;Выходной_В
28.05.2018;2018;5;1;Понедельник;22;Рабочий
29.05.2018;2018;5;2;Вторник;22;Рабочий
30.05.2018;2018;5;3;Среда;22;Рабочий
31.05.2018;2018;5;4;Четверг;22;Рабочий
01.06.2018;2018;6;5;Пятница;22;Пятница
02.06.2018;2018;6;6;Суббота;22;Выходной_С
03.06.2018;2018;6;7;Воскресенье;22;Выходной_В
04.06.2018;2018;6;1;Понедельник;23;Рабочий
05.06.2018;2018;6;2;Вторник;23;Рабочий
06.06.2018;2018;6;3;Среда;23;Рабочий
07.06.2018;2018;6;4;Четверг;23;Рабочий
08.06.2018;2018;6;5;Пятница;23;Рабочий
09.06.2018;2018;6;6;Суббота;23;Пятница
10.06.2018;2018;6;7;Воскресенье;23;Выходной_С
11.06.2018;2018;6;1;Понедельник;24;Выходной_С
12.06.2018;2018;6;2;Вторник;24;Выходной_В
13.06.2018;2018;6;3;Среда;24;Рабочий
14.06.2018;2018;6;4;Четверг;24;Рабочий
15.06.2018;2018;6;5;Пятница;24;Пятница
16.06.2018;2018;6;6;Суббота;24;Выходной_С
17.06.2018;2018;6;7;Воскресенье;24;Выходной_В
18.06.2018;2018;6;1;Понедельник;25;Рабочий
19.06.2018;2018;6;2;Вторник;25;Рабочий
20.06.2018;2018;6;3;Среда;25;Рабочий
21.06.2018;2018;6;4;Четверг;25;Рабочий
22.06.2018;2018;6;5;Пятница;25;Пятница
23.06.2018;2018;6;6;Суббота;25;Выходной_С
24.06.2018;2018;6;7;Воскресенье;25;Выходной_В
25.06.2018;2018;6;1;Понедельник;26;Рабочий
26.06.2018;2018;6;2;Вторник;26;Рабочий
27.06.2018;2018;6;3;Среда;26;Рабочий
28.06.2018;2018;6;4;Четверг;26;Рабочий
29.06.2018;2018;6;5;Пятница;26;Пятница
30.06.2018;2018;6;6;Суббота;26;Выходной_С
01.07.2018;2018;7;7;Воскресенье;26;Выходной_В
02.07.2018;2018;7;1;Понедельник;27;Рабочий
03.07.2018;2018;7;2;Вторник;27;Рабочий
04.07.2018;2018;7;3;Среда;27;Рабочий
05.07.2018;2018;7;4;Четверг;27;Рабочий
06.07.2018;2018;7;5;Пятница;27;Пятница
07.07.2018;2018;7;6;Суббота;27;Выходной_С
08.07.2018;2018;7;7;Воскресенье;27;Выходной_В
09.07.2018;2018;7;1;Понедельник;28;Рабочий
10.07.2018;2018;7;2;Вторник;28;Рабочий
11.07.2018;2018;7;3;Среда;28;Рабочий
12.07.2018;2018;7;4;Четверг;28;Рабочий
13.07.2018;2018;7;5;Пятница;28;Пятница
14.07.2018;2018;7;6;Суббота;28;Выходной_С
15.07.2018;2018;7;7;Воскресенье;28;Выходной_В
16.07.2018;2018;7;1;Понедельник;29;Рабочий
17.07.2018;2018;7;2;Вторник;29;Рабочий
18.07.2018;2018;7;3;Среда;29;Рабочий
19.07.2018;2018;7;4;Четверг;29;Рабочий
20.07.2018;2018;7;5;Пятница;29;Пятница
21.07.2018;2018;7;6;Суббота;29;Выходной_С
22.07.2018;2018;7;7;Воскресенье;29;Выходной_В
23.07.2018;2018;7;1;Понедельник;30;Рабочий
24.07.2018;2018;7;2;Вторник;30;Рабочий
25.07.2018;2018;7;3;Среда;30;Рабочий
26.07.2018;2018;7;4;Четверг;30;Рабочий
27.07.2018;2018;7;5;Пятница;30;Пятница
28.07.2018;2018;7;6;Суббота;30;Выходной_С
29.07.2018;2018;7;7;Воскресенье;30;Выходной_В
30.07.2018;2018;7;1;Понедельник;31;Рабочий
